skill
Python
C++
Java
JavaScript
SQL
Git
GitHub
Linux
HTML
CSS
Machine Learning
Deep Learning
TensorFlow
PyTorch
Scikit-learn
Pandas
NumPy
OpenCV
FastAPI
Flask
Django
Docker
Kubernetes
AWS
Azure
GCP
LangChain
RAG
LLM
Generative AI
NLP
Computer Vision
REST API
MongoDB
PostgreSQL
MySQL
Redis
CI/CD
Streamlit
